rank,word,count,review_count,review_pct
595,including,3,3,0.7
596,witch,3,1,0.2
597,hazel,3,1,0.2
598,along,3,2,0.5
599,stay,3,3,0.7
600,cleared,3,3,0.7
601,alcohol,3,3,0.7
602,sheet,3,2,0.5
603,let,3,2,0.5
604,laneige,3,2,0.5
605,dehydration,3,2,0.5
606,longer,3,3,0.7
607,asian,3,3,0.7
608,win,3,1,0.2
609,brand,3,3,0.7
610,whole,3,3,0.7
611,sample,3,3,0.7
612,tell,3,3,0.7
613,aplico,3,2,0.5
614,sin,3,3,0.7
615,sensaci,3,3,0.7
616,mit,3,2,0.5
617,later,3,3,0.7
618,desert,3,2,0.5
619,acts,3,3,0.7
620,man,3,2,0.5
621,tonic,3,2,0.5
622,ago,3,2,0.5
623,flare,2,2,0.5
624,heal,2,2,0.5
625,packed,2,2,0.5
626,centella,2,2,0.5
627,asiatica,2,2,0.5
628,prepping,2,2,0.5
629,unreal,2,2,0.5
630,reminds,2,2,0.5
631,ihn,2,1,0.2
632,vorher,2,2,0.5
633,habe,2,2,0.5
634,aber,2,2,0.5
635,duft,2,2,0.5
636,noch,2,2,0.5
637,ada,2,1,0.2
638,lamentablemente,2,1,0.2
639,usar,2,2,0.5
640,limonene,2,2,0.5
641,bonita,2,2,0.5
642,alergenos,2,1,0.2
643,test,2,2,0.5
644,del,2,2,0.5
645,prefer,2,2,0.5
646,perfume,2,2,0.5
647,igual,2,2,0.5
648,huele,2,2,0.5
649,hidratada,2,2,0.5
650,aplicar,2,1,0.2
651,hace,2,2,0.5
652,disappoint,2,2,0.5
653,spf,2,2,0.5
654,reason,2,2,0.5
655,five,2,2,0.5
656,solid,2,2,0.5
657,pebbles,2,2,0.5
658,favorites,2,2,0.5
659,creo,2,1,0.2
660,bastante,2,1,0.2
661,como,2,2,0.5
662,eucalipto,2,2,0.5
663,completely,2,2,0.5
664,sooo,2,2,0.5
665,conditioner,2,1,0.2
666,condition,2,2,0.5
667,post,2,2,0.5
668,third,2,2,0.5
669,skip,2,2,0.5
670,hormonal,2,2,0.5
671,react,2,2,0.5
672,perfecto,2,2,0.5
673,est,2,2,0.5
674,rutina,2,2,0.5
675,okay,2,2,0.5
676,leider,2,1,0.2
677,ner,2,2,0.5
678,wirklich,2,2,0.5
679,auch,2,2,0.5
680,gesicht,2,2,0.5
681,verwenden,2,2,0.5
682,ohne,2,2,0.5
683,produkt,2,2,0.5
684,past,2,2,0.5
685,decent,2,2,0.5
686,moist,2,2,0.5
687,expecting,2,2,0.5
688,cleaner,2,2,0.5
689,concerned,2,2,0.5
690,began,2,2,0.5
691,bottom,2,1,0.2
692,sink,2,2,0.5
693,visible,2,2,0.5
694,ingredient,2,2,0.5
695,dipropylene,2,1,0.2
696,blemish,2,2,0.5
697,blemishes,2,2,0.5
698,personal,2,2,0.5
699,items,2,2,0.5
700,intrusive,2,1,0.2
701,set,2,2,0.5
702,returning,2,2,0.5
703,breakout,2,2,0.5
704,possible,2,2,0.5
705,usual,2,2,0.5
706,differences,2,2,0.5
707,pros,2,1,0.2
708,cons,2,1,0.2
709,isn,2,2,0.5
710,stopped,2,2,0.5
711,throw,2,1,0.2
712,cosmetics,2,2,0.5
713,burned,2,1,0.2
714,idk,2,2,0.5
715,purpose,2,2,0.5
716,arrived,2,2,0.5
717,everywhere,2,2,0.5
718,seemed,2,2,0.5
719,guess,2,2,0.5
720,picky,2,2,0.5
721,baby,2,2,0.5
722,pas,2,1,0.2
723,m'a,2,1,0.2
724,peau,2,1,0.2
725,total,2,2,0.5
726,avec,2,1,0.2
727,cold,2,2,0.5
728,picture,2,2,0.5
729,gonna,2,2,0.5
730,fine,2,2,0.5
731,cause,2,2,0.5
732,cysts,2,1,0.2
733,eyes,2,2,0.5
734,needs,2,2,0.5
735,white,2,2,0.5
736,importantly,2,2,0.5
737,happened,2,2,0.5
738,old,2,2,0.5
739,hole,2,1,0.2
740,yes,2,2,0.5
741,mean,2,2,0.5
742,hydrate,2,2,0.5
743,older,2,2,0.5
744,previously,2,1,0.2
745,provides,2,2,0.5
746,tinted,2,1,0.2
747,foundation,2,2,0.5
748,offer,2,2,0.5
749,area,2,2,0.5
750,sensitivity,2,2,0.5
751,wonderfully,2,2,0.5
752,side,2,2,0.5
753,lately,2,2,0.5
754,protection,2,2,0.5
755,meant,2,2,0.5
756,reasonably,2,2,0.5
757,priced,2,2,0.5
758,together,2,2,0.5
759,achieving,2,2,0.5
760,vitamin,2,2,0.5
761,becomes,2,2,0.5
762,offers,2,2,0.5
763,calmed,2,2,0.5
764,significantly,2,2,0.5
765,plenty,2,2,0.5
766,further,2,2,0.5
767,bay,2,2,0.5
768,brightening,2,2,0.5
769,typical,2,2,0.5
770,sort,2,2,0.5
771,ease,2,2,0.5
772,running,2,2,0.5
773,underrated,2,2,0.5
774,jumbo,2,2,0.5
775,repairing,2,2,0.5
776,nourishment,2,2,0.5
777,scared,2,2,0.5
778,seeing,2,2,0.5
779,weight,2,2,0.5
780,wasn,2,2,0.5
781,lasting,2,2,0.5
782,liked,2,2,0.5
783,describes,2,2,0.5
784,causing,2,2,0.5
785,overnight,2,2,0.5
786,firming,2,2,0.5
787,cannot,2,2,0.5
788,achieved,2,2,0.5
789,cleansed,2,2,0.5
790,combo,2,2,0.5
791,hack,2,2,0.5
792,providing,2,2,0.5
793,softness,2,1,0.2
794,soothes,2,2,0.5
795,protects,2,2,0.5
796,major,2,2,0.5
797,reasonable,2,2,0.5
798,seriously,2,2,0.5
799,formulas,2,2,0.5
800,run,2,2,0.5
801,generously,2,2,0.5
802,sized,2,2,0.5
803,applies,2,2,0.5
804,whenever,2,2,0.5
805,boosts,2,2,0.5
806,miracle,2,2,0.5
807,ton,2,2,0.5
808,sit,2,2,0.5
809,main,2,2,0.5
810,user,2,2,0.5
811,touch,2,2,0.5
812,seasons,2,2,0.5
813,thinking,2,2,0.5
814,helping,2,2,0.5
815,retinol,2,2,0.5
816,search,2,2,0.5
817,exfoliating,2,1,0.2
818,cosrx,2,1,0.2
819,summer,2,2,0.5
820,ounces,2,2,0.5
821,pump,2,2,0.5
822,hope,2,2,0.5
823,humid,2,2,0.5
824,climate,2,2,0.5
825,sunscreen,2,2,0.5
826,eye,2,2,0.5
827,exfoliate,2,2,0.5
828,protect,2,2,0.5
829,repairs,2,2,0.5
830,number,2,2,0.5
831,tones,2,2,0.5
832,friend,2,2,0.5
833,brightens,2,2,0.5
834,world,2,2,0.5
835,application,2,2,0.5
836,melt,2,2,0.5
837,intended,2,2,0.5
838,reduced,2,2,0.5
839,worked,2,2,0.5
840,seem,2,2,0.5
841,shiny,2,2,0.5
842,dozens,2,2,0.5
843,qualities,2,2,0.5
844,woman,2,2,0.5
845,produce,2,2,0.5
846,lightly,2,2,0.5
847,required,2,2,0.5
848,snail,2,2,0.5
849,mucin,2,2,0.5
850,online,2,2,0.5
851,faint,2,2,0.5
852,liquid,2,2,0.5
853,key,2,2,0.5
854,breaking,2,2,0.5
855,problems,2,2,0.5
856,foreo,2,1,0.2
857,treatment,2,1,0.2
858,satisfied,2,2,0.5
859,smaller,2,2,0.5
860,occlusive,2,2,0.5
861,oils,2,2,0.5
862,quantity,2,2,0.5
863,store,2,2,0.5
864,husband,2,2,0.5
865,minutes,2,2,0.5
866,etc,2,2,0.5
867,runny,2,2,0.5
868,harsh,2,2,0.5
869,winters,2,2,0.5
870,you've,2,1,0.2
871,often,2,2,0.5
872,wash,2,2,0.5
873,initially,2,2,0.5
874,fix,2,1,0.2
875,patches,2,1,0.2
876,moisturizers,2,1,0.2
877,none,2,2,0.5
878,citrusy,2,2,0.5
879,currently,2,2,0.5
880,favor,2,2,0.5
881,dupe,2,1,0.2
882,cost,2,2,0.5
883,viscous,2,2,0.5
884,film,2,1,0.2
885,cut,2,2,0.5
886,middle,2,2,0.5
887,replace,2,2,0.5
888,breakouts,2,2,0.5
889,rashes,2,2,0.5
890,next,2,2,0.5
891,slather,2,2,0.5
892,late,2,2,0.5
893,wrinkles,2,2,0.5
894,yummy,2,2,0.5
895,glows,2,2,0.5
896,purchasing,2,2,0.5
897,prime,2,2,0.5
898,bigger,2,2,0.5
899,preps,2,2,0.5
900,ball,2,2,0.5
901,else,2,2,0.5
902,afterwards,2,2,0.5
903,avoid,2,2,0.5
904,fragranced,2,2,0.5
905,powerful,2,2,0.5
906,bonus,2,2,0.5
907,cautious,2,2,0.5
908,diesen,2,2,0.5
909,wie,2,2,0.5
910,ber,2,2,0.5
911,dem,2,2,0.5
912,wer,2,1,0.2
913,hat,2,1,0.2
914,einfach,2,1,0.2
915,sanft,2,1,0.2
916,wattepad,2,1,0.2
917,leicht,2,2,0.5
918,unter,2,1,0.2
919,besten,2,2,0.5
920,legen,2,1,0.2
921,freaking,2,2,0.5
922,fabulous,2,2,0.5
923,glad,2,2,0.5
924,fave,2,2,0.5
925,cute,2,2,0.5
926,authentic,2,2,0.5
927,sunburn,2,1,0.2
928,recent,2,2,0.5
929,tip,2,2,0.5
930,home,2,2,0.5
931,evening,2,2,0.5
932,def,2,2,0.5
933,safe,2,2,0.5
934,there's,2,1,0.2
935,primer,2,2,0.5
936,genuine,2,1,0.2
937,description,2,2,0.5
938,greatly,2,1,0.2
939,kinda,2,2,0.5
940,soaked,2,2,0.5
941,dark,2,2,0.5
942,abusive,2,1,0.2
943,struggling,2,2,0.5
944,learned,2,2,0.5
945,bring,2,1,0.2
946,island,2,1,0.2
947,painful,2,1,0.2
948,container,2,1,0.2
949,magic,2,1,0.2
950,salvo,2,1,0.2
951,grasa,2,1,0.2
952,mis,2,1,0.2
953,mejor,2,1,0.2
954,autoimmune,1,1,0.2
955,disease,1,1,0.2
956,enjoying,1,1,0.2
957,starters,1,1,0.2
958,seal,1,1,0.2
959,epitome,1,1,0.2
960,lives,1,1,0.2
961,ganz,1,1,0.2
962,nett,1,1,0.2
963,mag,1,1,0.2
964,gerne,1,1,0.2
965,nach,1,1,0.2
966,kaufe,1,1,0.2
967,wei,1,1,0.2
968,ssig,1,1,0.2
969,merk,1,1,0.2
970,keinen,1,1,0.2
971,unterschied,1,1,0.2
972,benutzt,1,1,0.2
973,angenehmes,1,1,0.2
974,frisches,1,1,0.2
975,hautgef,1,1,0.2
976,zitronengras,1,1,0.2
977,rdert,1,1,0.2
978,frische,1,1,0.2
979,gef,1,1,0.2
980,mal,1,1,0.2
981,ligera,1,1,0.2
982,apta,1,1,0.2
983,pieles,1,1,0.2
984,sensibles,1,1,0.2
985,cutanea,1,1,0.2
986,compr,1,1,0.2
987,uso,1,1,0.2
988,demasiadas,1,1,0.2
989,capas,1,1,0.2
990,empieza,1,1,0.2
991,quemar,1,1,0.2
992,roja,1,1,0.2
993,cuerpo,1,1,0.2
994,desperdiciar,1,1,0.2
995,dinero,1,1,0.2
996,tendr,1,1,0.2
997,comprarme,1,1,0.2
998,otro,1,1,0.2
999,fragancias,1,1,0.2
1000,aceites,1,1,0.2
1001,compres,1,1,0.2
1002,contiene,1,1,0.2
1003,aceite,1,1,0.2
1004,escencial,1,1,0.2
1005,experiencia,1,1,0.2
1006,tapa,1,1,0.2
1007,pesar,1,1,0.2
1008,investigu,1,1,0.2
1009,sobre,1,1,0.2
1010,otros,1,1,0.2
1011,comprarlo,1,1,0.2
1012,extremadamente,1,1,0.2
1013,mas,1,1,0.2
1014,comunes,1,1,0.2
1015,antebrazo,1,1,0.2
1016,funcion,1,1,0.2
1017,mucho,1,1,0.2
1018,conmigo,1,1,0.2
1019,estar,1,1,0.2
1020,comparaci,1,1,0.2
1021,brazo,1,1,0.2
1022,fond,1,1,0.2
1023,resorted,1,1,0.2
1024,hidratante,1,1,0.2
1025,bueno,1,1,0.2
1026,imagen,1,1,0.2
1027,venta,1,1,0.2
1028,delicioso,1,1,0.2
1029,smoothie,1,1,0.2
1030,sico,1,1,0.2
1031,funciona,1,1,0.2
1032,lavar,1,1,0.2
1033,una,1,1,0.2
1034,diferencia,1,1,0.2
1035,relevante,1,1,0.2
1036,compro,1,1,0.2
1037,gusta,1,1,0.2
1038,mojar,1,1,0.2
1039,cara,1,1,0.2
1040,cido,1,1,0.2
