user_id,nickname,total_reviews,REVIEWER_INFO,BRAND_NAME,goods_name,option,REVIEW_DATE,REVIEW_RATING,REVIEW_ADDITIONAL_INFO,review_likes,REVIEW_CONTENT,PRODUCT_NAME,has_price_info,토너여부,브랜드여부
69399f132e444e8c5367d9daf0927110,무신붕붕이,395,"oily / spring_warm / pores,acne",독도토너,1025 독도 토너 200ml,NONE,2025-03-15,5,,0,다 사용하면 더 큰용량으로 가격비교해보고 사보려고합니다!,라운드랩1025독도토너200ml,TRUE,Y,#N/A
3e31b1ce3936d3f72cacf6480df6d471,알라잌딧,189,"combination / summer_cool / moisture_control,pores,soothing",독도토너,1025 독도 토너 200ml,NONE,2025-03-15,5,,0,세안할 때마다 쓰는데 피부에 자극이 안 생겨서 좋아요,라운드랩1025독도토너200ml,TRUE,Y,#N/A
581a4c53f5a774c7a51241658810813a,왈왈!!!,236,"combination / summer_cool / soothing,pores,moisture_control",독도토너,1025 독도 토너 500ml + 독도 로션 200ml,none,2025-03-15,5,,0,순한로션 순한토너 중에 독도라인만한게 없수다! ????,라운드랩1025독도토너500ml독도로션200ml,TRUE,Y,#N/A
5ac65a1b5b249969b14343237c54737b,제임스킴jh,123,"combination / spring_warm / pores,brightening,soothing",독도토너,1025 독도 토너 500ml + 독도 로션 200ml,none,2025-03-15,5,,0,향도 없고 점도도 없어서 그냥 물 같은데 피부는 좋아지는 느낌,라운드랩1025독도토너500ml독도로션200ml,TRUE,Y,#N/A
5b3af76f70e255f1306d6b58825b9b9a,junukim,26,"sensitive / spring_warm / moisture_control,soothing",독도토너,1025 독도 토너 200ml + 독도 로션 200ml,none,2025-03-16,5,,0,선물했는데 반응 좋아요 수분감도 조흠니다 세트삼,라운드랩1025독도토너200ml독도로션200ml,TRUE,Y,#N/A
2527f0c2f1bde34cffd297220fd51489,영감을주는벨트,,dry / summer_cool / soothing,독도토너,1025 독도 토너 400ml (+독도 크림 5ml 증정),NONE,2025-03-16,5,,0,이미 알려질 대로 알려진 제품이라 후기가 필요있나 싶습니다 모델링팩할 때도 물대신 토너로 해주고 있습니다,라운드랩1025독도토너400ml,FALSE,Y,#N/A
90d12e8c6a22547b12d3064a472003a2,민영게이,,"combination / spring_warm / pores,acne,elasticity",독도토너,1025 독도 토너 400ml (+독도 크림 5ml 증정),NONE,2025-03-16,5,,0,역시 맨날 사용하는데 저렴하고 아주 좋네요 담에 또삼,라운드랩1025독도토너400ml,FALSE,Y,#N/A
2758be235464d6e8a5f247eb33700083,장오니,90,"combination / fall_warm / soothing,pores,acne",독도토너,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),none,2025-03-17,5,,0,몇년째 꾸준히 쓰고 있어요 용량 커서 기본 토너로 쓰기 너무 좋아요,라운드랩1025독도토너500ml,TRUE,Y,#N/A
e912c858366a07cd00a10265dc8cbb77,하나부터다사자,68,"oily / spring_warm / soothing,pores,moisture_control",독도토너,1025 독도 토너 500ml + 독도 로션 200ml,none,2025-03-17,5,,0,역시 잘쓰고있습니다 감사합니다 또구매할게요,라운드랩1025독도토너500ml독도로션200ml,TRUE,Y,#N/A
ead3e4d7c11cc8770cf8d7148bc804aa,혁명적인크림정장,,"combination / spring_warm / soothing,moisture_control,acne",독도토너,1025 독도 토너 500ml + 로션 400ml,NONE,2025-03-17,5,,0,군대에서 처음 썼는데 시원하고 좋아서 재구매했어요. 양도 많아서 가성비가 좋아요.,라운드랩1025독도토너500ml로션400ml,TRUE,Y,#N/A
